date,class,professor,prof_g_p,q_or_a,student_g_p,time,cont_call,number_m_p,number_w_p
10/25/18,203,Sam,w,q,w,2,0,,
10/25/18,203,Sam,w ,q,m,2,0,,
10/25/18,203,Sam,w,q,m,2,0,,
10/25/18,203,Sam,w ,q,m,3,0,,
10/25/18,203,Sam,w,q,m,3,0,,
10/25/18,203,Sam,w ,q,w,3,0,,
10/25/18,203,Sam,w,q,w,3,0,,
10/25/18,203,Sam,w ,q,w,3,0,,
10/25/18,203,Sam,w,q,m,3,0,,
10/25/18,203,Sam,w ,q,w,3,0,,
10/30/18,203,Sam,w,q,w,1,0,,
10/30/18,203,Sam,w ,q,w,1,0,,
10/30/18,203,Sam,w,q,w,1,0,,
10/30/18,203,Sam,w ,q,m,3,0,,
10/30/18,203,Sam,w ,q,w,3,0,,
10/30/18,203,Sam,w,q,w,3,0,,
10/30/18,203,Sam,w ,q,w,3,0,,
10/30/18,203,Sam,w ,q,w,3,0,,
11/1/18,203,Kelly,m,q,w,1,0,,
11/1/18,203,Kelly,m,q,w,1,0,,
11/1/18,203,Kelly,m,q,m,1,0,,
11/1/18,203,Kelly,m,q,m,2,0,,
11/1/18,203,Kelly,m,q,w,2,0,,
11/1/18,203,Kelly,m,q,m,3,0,,
11/1/18,203,Kelly,m,q,m,3,0,,
11/1/18,203,Kelly,m,q,m,3,0,,
11/1/18,203,Kelly,m,q,m,3,0,,
11/1/18,203,Kelly,m,q,w,3,0,,
11/1/18,203,Kelly,m,q,m,3,0,,
11/8/18,203,Kelly,m,q,m,1,0,,
11/8/18,203,Kelly,m,q,m,1,0,,
11/8/18,203,Kelly,m,q,m,1,0,,
11/8/18,203,Kelly,m,q,m,2,0,,
11/8/18,203,Kelly,m,q,m,2,1,1,1
11/8/18,203,Kelly,m,q,w,2,1,0,2
11/8/18,203,Kelly,m,q,w,2,0,,
11/8/18,203,Kelly,m,q,w,3,0,,
11/8/18,203,Kelly,m,q,m,3,0,,
11/13/18,203,Sam,w,q,m,1,0,,
11/13/18,203,Sam,w,q,m,1,0,,
11/13/18,203,Sam,w,q,m,1,0,,
11/13/18,203,Sam,w,q,w,1,0,,
11/13/18,203,Sam,w,q,m,2,0,,
11/13/18,203,Sam,w,q,m,2,0,,
11/13/18,203,Sam,w,q,w,2,0,,
11/13/18,203,Sam,w,q,w,3,0,,
11/13/18,203,Sam,w,q,w,3,0,,
11/15/18,203,Sam,w,q,m,3,0,,
11/15/18,203,Kelly,m,q,m,1,0,,
11/15/18,203,Kelly,m,q,m,2,0,,
11/15/18,203,Kelly,m,q,m,2,0,,
11/15/18,203,Kelly,m,q,m,2,0,,
11/15/18,203,Kelly,m,q,m,2,0,,
11/15/18,203,Kelly,m,q,m,2,0,,
11/15/18,203,Kelly,m,q,m,2,0,,
11/15/18,203,Kelly,m,q,m,2,0,,
11/15/18,203,Kelly,m,q,m,2,0,,
11/15/18,203,Kelly,m,q,w,2,0,,
11/15/18,203,Kelly,m,q,m,2,0,,
11/15/18,203,Kelly,m,q,m,2,0,,
11/15/18,203,Kelly,m,q,w,3,1,1,1
11/15/18,203,Kelly,m,q,m,3,0,,
11/15/18,203,Kelly,m,q,w,3,0,,
11/15/18,203,Kelly,m,q,w,3,0,,
11/15/18,203,Kelly,m,q,m,3,0,,
11/15/18,203,Kelly,m,q,w,3,0,,
11/20/18,203,Sam,w,q,m,2,0,,
11/20/18,203,Sam,w,q,w,2,0,,
11/20/18,203,Sam,w,q,m,3,0,,
11/20/18,203,Sam,w,q,w,3,0,,
11/20/18,203,Sam,w,q,w,3,0,,
11/20/18,203,Sam,w,q,m,3,0,,
11/20/18,203,Sam,w,q,w,3,0,,
11/27/18,203,Sam,w,q,m,2,0,,
11/27/18,203,Sam,w,q,w,2,0,,
11/27/18,203,Sam,w,q,w,2,0,,
11/27/18,203,Sam,w,q,m,2,0,,
11/27/18,203,Sam,w,q,m,2,0,,
11/27/18,203,Sam,w,q,m,2,0,,
11/27/18,203,Sam,w,q,m,3,0,,
11/29/18,203,Sam,w,a,w,1,0,,
11/29/18,203,Sam,w,a,m,1,0,,
11/29/18,203,Sam,w,q,w,1,0,,
11/29/18,203,Sam,w,a,m,1,0,,
11/29/18,203,Sam,w,a,m,1,0,,
11/29/18,203,Sam,w,q,m,1,0,,
11/29/18,203,Sam,w,q,m,1,0,,
11/29/18,203,Sam,w,q,w,2,0,,
11/29/18,203,Sam,w,q,m,2,0,,
11/29/18,203,Sam,w,q,w,2,0,,
11/29/18,203,Sam,w,q,m,2,0,,
11/29/18,203,Sam,w,q,m,2,0,,
11/29/18,203,Sam,w,q,m,3,0,,
11/29/18,203,Sam,w,q,m,3,0,,
11/29/18,203,Sam,w,q,m,3,0,,
11/29/18,203,Sam,w,q,m,3,0,,
11/29/18,203,Sam,w,q,m,3,0,,
